                           WORDS	COUNTS
                           сообщая:	2
                         сообществ:	2
                       сообществам:	2
                        сообщество:	2
                           сообщил:	2
                          сообщили:	2
                   соответствующий:	2
                   соответствующих:	2
                   соответствующую:	2
                    соприкоснуться:	2
                       сопроводить:	2
                     сопровождения:	2
                     сопротивление:	2
                         внешности:	2
                    сопротивляться:	2
                           состава:	2
                         вниманием:	2
                           составе:	2
                        составляет:	2
                      составляющих:	2
                   сосуществование:	2
                              имен:	2
                            вносим:	2
                             имена:	2
                      сосуществует:	2
                               сот:	2
                       сотворенные:	2
                          сотворил:	2
                       внутреннего:	2
                         сохранить:	2
                         сохраняем:	2
                        имеющимися:	2
                        социальная:	2
                        социальных:	2
                            сочтет:	2
                             союзе:	2
                          внушений:	2
                             спады:	2
                         спектакле:	2
                       вовлекаются:	2
                        импульсами:	2
                           спектра:	2
                             вовне:	2
                              вода:	2
                         специфика:	2
                              иная:	2
                            спешки:	2
                         спокойная:	2
                         индейцами:	2
                         спокойней:	2
                         спокойные:	2
                         спокойный:	2
                     способностями:	2
                      способностях:	2
                              воду:	2
                    индивидуальный:	2
                           способы:	2
                       индивидуума:	2
                             индии:	2
                          спросить:	2
                            спустя:	2
                       возбуждение:	2
                          сработал:	2
                       возбуждения:	2
                       возбужденно:	2
                      сравнительно:	2
                     возвращаетесь:	2
                           средней:	2
                           среднем:	2
                             иного:	2
                              ином:	2
                           средние:	2
                       возвращаюсь:	2
                           средний:	2
                        средствами:	2
                      возвращением:	2
                       возвращению:	2
                         средством:	2
                         возвысить:	2
                      инструктором:	2
                              срок:	2
                              став:	2
                            ставит:	2
                         стандарты:	2
                         интеллект:	2
                           станции:	2
                      воздействием:	2
                         старейшим:	2
                    воздействовать:	2
                      воздействуют:	2
                            старше:	2
                  интеллектуальной:	2
                           воздухе:	2
                           старшим:	2
                           статуса:	2
                        стесненных:	2
                            стивом:	2
                             стиву:	2
                           стимула:	2
                         стойкости:	2
                          столетии:	2
                          столетия:	2
                     интенсивность:	2
                             столу:	2
                        столько-то:	2
                              стою:	2
                          страдает:	2
                          странных:	2
                         возможные:	2
                         возможным:	2
                           страхом:	2
                        возмущения:	2
                        возмущенно:	2
                         стремимся:	2
                            стресс:	2
                            строги:	2
                         интересом:	2
                     строительство:	2
                             строя:	2
                     интерпретации:	2
                     интерпретацию:	2
                         структура:	2
                         ступенька:	2
                     субъект:…есть:	2
                            судьбе:	2
                         возражают:	2
                           возраст:	2
                        возрастает:	2
                           судьями:	2
                      возрастающая:	2
                             судят:	2
                          суждения:	2
                             сумел:	2
                          сумрачно:	2
                         интуицией:	2
                             суров:	2
                            суровы:	2
                         возрастом:	2
                              иных:	2
                              суть:	2
                              суши:	2
                       существенно:	2
                      существенной:	2
                      существовало:	2
                     существованию:	2
                              сфер:	2
                      сформирована:	2
                             искал:	2
                             войны:	2
                      сформировать:	2
                             схема:	2
                             схеме:	2
                             схему:	2
                    исключительный:	2
                          волнение:	2
                         сходством:	2
                             сцена:	2
                          сценарий:	2
                         счастливо:	2
                           считали:	2
                         считались:	2
                         считаются:	2
                              сына:	2
                         сюрпризом:	2
                             волос:	2
                          волосами:	2
                           таблице:	2
                        искупления:	2
                              таки:	2
                            такова:	2
                             такта:	2
                           тандема:	2
                            танцах:	2
                         танцевать:	2
                             танцы:	2
                            твердо:	2
                      воплотившись:	2
                          твердого:	2
                              твой:	2
                           творцов:	2
                         текучести:	2
                           текущих:	2
                           текущую:	2
                     воплощающиеся:	2
                    воплощающимися:	2
                     воплощающихся:	2
                        воплощаясь:	2
                        воплощение:	2
                          телесных:	2
                        воплощению:	2
                     использование:	2
                     использовании:	2
                         воплощены:	2
                            темных:	2
                     использования:	2
                         вопросами:	2
                      использовано:	2
                           воронку:	2
                       температура:	2
                              темы:	2
                            теории:	2
                            восемь:	2
                             тепла:	2
                       используете:	2
                           терапия:	2
                      терминологии:	2
                           термины:	2
                          терпение:	2
                           терпеть:	2
                    воспользовался:	2
                   воспользоваться:	2
                         терпимыми:	2
                            теряем:	2
                              тети:	2
                    воспоминаниями:	2
                           технику:	2
                 воспрепятствовать:	2
                           течения:	2
                            типами:	2
                           типично:	2
                     восприимчивым:	2
                        испытанием:	2
                          типичную:	2
                          типичный:	2
                     воспринимаете:	2
                        испытаниях:	2
                              типу:	2
                              типы:	2
                         испытывал:	2
                             тихий:	2
                      исследования:	2
                             тихим:	2
                    исследованиями:	2
                             тихой:	2
                     воссоединения:	2
                            тишина:	2
                     исследователи:	2
                    воссоединиться:	2
                             ткани:	2
                             ткань:	2
                           тонкими:	2
                          истинная:	2
                       воссоздание:	2
                        торопиться:	2
                 восстанавливается:	2
                   восстанавливать:	2
                          истинной:	2
                         торопливо:	2
                             точек:	2
                    восстановление:	2
                    восстановлению:	2
                    восстановления:	2
                             точке:	2
                            точнее:	2
                            точные:	2
                           востоке:	2
                             травм:	2
                            травма:	2
                      восторженные:	2
                            травму:	2
                       традиционно:	2
                             транс:	2
                         восточных:	2
                     требовательны:	2
                           требует:	2
                          тревогой:	2
                              трем:	2
                             тремя:	2
                            третий:	2
                           третьей:	2
                            исхода:	2
                            исходе:	2
                           трогать:	2
                           трудной:	2
                           трудную:	2
                             вошел:	2
                          трудными:	2
                             вошли:	2
                            исходя:	2
                         исходящая:	2
                           трудных:	2
                           туннеле:	2
                         исходящие:	2
                           туннели:	2
                         исцеления:	2
                              тьма:	2
                              тягу:	2
                           тяжелой:	2
                           тяжести:	2
                             тянет:	2
                             уа-ру:	2
                           вплываю:	2
                        исцеляющим:	2
                           убедила:	2
                           убедить:	2
                              убил:	2
                           впустую:	2
                             убита:	2
                             убиты:	2
                           уважаем:	2
                          уважение:	2
                               ищу:	2
                              ищут:	2
                     увеличивается:	2
                       увеличилось:	2
                           уверена:	2
                      уверенностью:	2
                          казаться:	2
                         уверенным:	2
                         вращаются:	2
                            кайова:	2
                           увечное:	2
                          вращение:	2
                           увидела:	2
                            увидят:	2
                        каким-либо:	2
                          увлекает:	2
                          временно:	2
                          каким-то:	2
                         удавалось:	2
                         какими-то:	2
                         временные:	2
                            каково:	2
                         какого-то:	2
                       удивительно:	2
                      удивительный:	2
                         удивляюсь:	2
                    удовлетворение:	2
                     удовлетворены:	2
                          все-таки:	2
                          какую-то:	2
                        всезнающее:	2
                     удовлетворить:	2
                         уединении:	2
                         каменного:	2
                         уединения:	2
                            ужасно:	2
                        вселенских:	2
                        вселенское:	2
                        вселенской:	2
                           ужасное:	2
                           ужасной:	2
                            камней:	2
                           ужасные:	2
                            узнают:	2
                            указал:	2
                           камнями:	2
                          указания:	2
                        указаниями:	2
                      указательный:	2
                         украшение:	2
                           укрепил:	2
                            улицах:	2
                             улицы:	2
                              умах:	2
                             умело:	2
                          капитана:	2
                            умение:	2
                           умереть:	2
                          умершего:	2
                        вспоминали:	2
                          умершими:	2
                          умирание:	2
                            умираю:	2
                       кармической:	2
                             умный:	2
                       кармическую:	2
                     умонастроении:	2
                             умрет:	2
                          уникален:	2
                            встает:	2
                        уничтожить:	2
                          картинки:	2
                       встревожена:	2
                       упоминалось:	2
                          упомянул:	2
                        управление:	2
                        упражнения:	2
                          упустили:	2
                           уровнем:	2
                              урон:	2
                       усиливается:	2
                            усилий:	2
                           условие:	2
                         условиями:	2
                         усложняет:	2
                          успевают:	2
                             успех:	2
                        встречаете:	2
                            успехи:	2
                           успешно:	2
                          успешные:	2
                         качествам:	2
                        встречался:	2
                          встречах:	2
                          успешным:	2
                       качественно:	2
                       успокаивает:	2
                       встречающих:	2
                     успокаивающее:	2
                            устала:	2
                   устанавливаются:	2
                      установление:	2
                      установочная:	2
                          вступает:	2
                         установят:	2
                           вступал:	2
                       устоявшимся:	2
                        устраивает:	2
                        утверждать:	2
                          кем-либо:	2
                       утверждения:	2
                          утешении:	2
                          утешения:	2
                           утратой:	2
                              кино:	2
                         ухаживают:	2
                        кинотеатре:	2
                            всяких:	2
                            всякой:	2
                              уход:	2
                              ухом:	2
                         вторгаюсь:	2
                       участвовали:	2
                         участвуем:	2
                         участвуют:	2
                           участия:	2
                         вторичной:	2
                          учащихся:	2
                         вторичным:	2
                        вторичными:	2
                             учебы:	2
                             кладу:	2
                    второстепенных:	2
                           ученика:	2
                          ученикам:	2
                          учеников:	2
                          учеником:	2
                              ушел:	2
                            ущерба:	2
                             уютно:	2
                        фактически:	2
                         факторами:	2
                           факторы:	2
                           входные:	2
                          фантазии:	2
                       фантастично:	2
                        вхождением:	2
                         вхождению:	2
                           фигурой:	2
                            клеток:	2
                            физики:	2
                       физическому:	2
                         фиксирует:	2
                          выбирали:	2
                       клинической:	2
                           философ:	2
                         философии:	2
                       фильтровать:	2
                       фиолетового:	2
                  флажки-указатели:	2
                            флажок:	2
                           формами:	2
                          формации:	2
                      формирования:	2
                       формировать:	2
                           вывести:	2
                        фотографии:	2
                          выглядел:	2
                         выглядела:	2
                             фразы:	2
                  функционирование:	2
                           выгляжу:	2
                     функционирует:	2
                    характеристики:	2
                        характерно:	2
                       характерным:	2
                           хватало:	2
                             химии:	2
                        химические:	2
                             ходом:	2
                           кожаные:	2
                              ходу:	2
                             ходят:	2
                            хозяин:	2
                           хороший:	2
                               кой:	2
                           хороших:	2
                              хоть:	2
                         колебаний:	2
                            храмом:	2
                         хранилище:	2
                        колеблется:	2
                      христианская:	2
                      христианской:	2
                           вызовом:	2
                       хроническую:	2
                          художник:	2
                          вызывать:	2
                         художника:	2
                            колеса:	2
                        количестве:	2
                          цветными:	2
                            коллег:	2
                           коллега:	2
                          цветовая:	2
                     коллективного:	2
                      коллективное:	2
                      коллективные:	2
                          цветовую:	2
                            цветок:	2
                   целенаправленно:	2
                           вынести:	2
                           целиком:	2
                      целительскую:	2
                           колонке:	2
                      целительстве:	2
                             целой:	2
                       целостности:	2
                         целостным:	2
                      колоссальный:	2
                        выпаливает:	2
                            целует:	2
                             целую:	2
                         цельность:	2
                        цельностью:	2
                             целям:	2
                           команде:	2
                        выполнение:	2
                         церемонии:	2
                           церковь:	2
                         командным:	2
                         выполнили:	2
                         выполнить:	2
                         выполнять:	2
                          циничные:	2
                             цифры:	2
                               час:	2
                              часа:	2
                             часов:	2
                            частиц:	2
                          выражаем:	2
                          частично:	2
                         частности:	2
                            частот:	2
                          выражают:	2
                        выражающим:	2
                           частота:	2
                         выражению:	2
                           частоту:	2
                          комнатах:	2
                           комнате:	2
                           частоты:	2
                              чаше:	2
                              чаши:	2
                          человеке:	2
                         человечек:	2
                      компаньонами:	2
                      человечество:	2
                           чему-то:	2
                       компенсации:	2
                            чертах:	2
                             черту:	2
                        честностью:	2
                           честным:	2
                          четверти:	2
                            чикаго:	2
                             числа:	2
                      высказывание:	2
                       численности:	2
                         численных:	2
                             числу:	2
                            чистая:	2
                         читателям:	2
                       высказывать:	2
                            читать:	2
                             члена:	2
                            членам:	2
                             чреве:	2
                           высокая:	2
                         конкретно:	2
                  чувствительность:	2
                          чувствуя:	2
                              чуть:	2
                            чьи-то:	2
                        конкретных:	2
                              шаги:	2
                    высокоразвитые:	2
                             шагом:	2
                              шанс:	2
                     выстраиваются:	2
                            шансов:	2
                             шансы:	2
                         шахматной:	2
                               шее:	2
                         выступает:	2
                               шей:	2
                               шел:	2
                               шил:	2
                          выступая:	2
                         выступила:	2
                      консультации:	2
                            высшая:	2
                            высший:	2
                           высшими:	2
                       выталкивает:	2
                       выталкивают:	2
                      консультаций:	2
                           широкий:	2
                          школьных:	2
                              шока:	2
                              шоке:	2
                           выучить:	2
                     эзотерические:	2
                            экрана:	2
                          экранами:	2
                           экранов:	2
                       эксперимент:	2
                экспериментировать:	2
                     экспериментов:	2
                   экстравагантная:	2
                   экстрасенсорное:	2
                  электромагнитным:	2
                         элементов:	2
                             вышли:	2
                         контракта:	2
                           выявили:	2
                            эмифес:	2
                            эмоций:	2
                     эмоциональная:	2
                     эмоциональном:	2
                    энергетический:	2
                    энергетическим:	2
                        контролеры:	2
                            энрэса:	2
                       эффективным:	2
                              юмор:	2
                      контролирует:	2
                     контролируете:	2
                             юмора:	2
                       контролирую:	2
                         галактике:	2
                          являлись:	2
                          являться:	2
                           являюсь:	2
                            являют:	2
                        являющуюся:	2
                              язык:	2
                             языка:	2
                            японии:	2
                             яркие:	2
                          конфликт:	2
                         гамильтон:	2
                             ярким:	2
                   гармонизировать:	2
                         конфликте:	2
                       гармоничной:	2
                            яркого:	2
                         конфликты:	2
                          гармония:	2
                 концентрированная:	2
                              геев:	2
                 концентрированную:	2
                         кончается:	2
                           кончины:	2
                      координаторы:	2
                          коренных:	2
                           коридор:	2
                          коридоре:	2
                         коробочка:	2
                           коротко:	2
                          короткую:	2
                       космическом:	2
                            космос:	2
                           космосе:	2
                     географически:	2
                         коснуться:	2
                    географическим:	2
                       красноватый:	2
                    географическое:	2
                           красные:	2
                           красный:	2
                           красным:	2
                           красных:	2
                        кратчайший:	2
                             краям:	2
                            крепко:	2
                         критерием:	2
                            гибели:	2
                           критике:	2
                             кровь:	2
                        крошечными:	2
                        гигантский:	2
                           круглый:	2
                            кругом:	2
                           крупные:	2
                         культурам:	2
                         культурах:	2
                           кумарой:	2
                            ладони:	2
               гидами-проводниками:	2
                             гидах:	2
                            легким:	2
                            легкой:	2
                    гидов-учителей:	2
                            легкую:	2
                          ледового:	2
                               лее:	2
                          лестнице:	2
                           гипнозу:	2
                         гипнологу:	2
                           лидеров:	2
                     гипнотерапевт:	2
                           лидером:	2
                             линию:	2
                        литературе:	2
                            лицами:	2
                              лице:	2
                            личное:	2
                    гипнотического:	2
                     гипнотическое:	2
                     гипнотическом:	2
                        личностное:	2
                            личную:	2
                     гипотетически:	2
                            личным:	2
                           лишения:	2
                            лишний:	2
                           ловушек:	2
                           ловушку:	2
                            ложным:	2
                               лом:	2
                            лучшая:	2
                           главные:	2
                           лучшего:	2
                            лучшем:	2
                            лучшим:	2
                             глазу:	2
                            любите:	2
                            любого:	2
                             любое:	2
                       любопытство:	2
                           любящей:	2
                           любящие:	2
                         глубинной:	2
                           глубину:	2
                         маленьким:	2
                          глубокие:	2
                              мама:	2
                            марком:	2
                             марку:	2
                             глупо:	2
                          глупости:	2
                          маршруту:	2
                          маршруты:	2
                             массе:	2
                      мастера-гида:	2
                         мастерами:	2
                        мастерство:	2
                         материала:	2
                        материалов:	2
                               год:	2
                      материальные:	2
                           материю:	2
                         голландии:	2
                            машины:	2
                        мгновенное:	2
                         медитаций:	2
                          медиумом:	2
                         медсестры:	2
                           мелинды:	2
                            мелкие:	2
                        ментальном:	2
                           меньшим:	2
                           местами:	2
                         местность:	2
                    метафорических:	2
                           методах:	2
                          миллиона:	2
                        милосердие:	2
                           голубая:	2
                         мифологии:	2
                              мифы:	2
                          голубого:	2
                           младшие:	2
                          младшими:	2
                       многомерные:	2
                           многому:	2
                         множества:	2
                           молодую:	2
                            молоды:	2
                          молодыми:	2
                            моложе:	2
                       моментально:	2
                          моментах:	2
                          моментов:	2
                          моментом:	2
                            морали:	2
                           морских:	2
                             моряк:	2
                             мотив:	2
                          гордость:	2
                         мотивации:	2
                            мощным:	2
                            мудрее:	2
                           мудрецы:	2
                             мудро:	2
                           мужские:	2
                             горло:	2
                           мужском:	2
                          городами:	2
                           мужчина:	2
                       музыкальным:	2
                      музыкальными:	2
                       музыкальных:	2
                      мыслительные:	2
                            мыслью:	2
                          мышления:	2
                           горячих:	2
                             мэгра:	2
                            мягкие:	2
                         наблюдает:	2
                       наблюдателя:	2
                       наблюдающим:	2
                       государства:	2
                        навязывают:	2
                        надобности:	2
                          названия:	2
                         назначают:	2
                       назначенное:	2
                          назовите:	2
                        готовность:	2
                      наклонностей:	2
                       наклонности:	2
                     наклонностями:	2
                       наполняются:	2
                      напоминающее:	2
                          напомнил:	2
                      направлением:	2
                        направляет:	2
                         направляю:	2
                        направляют:	2
                      направляющим:	2
                       направляясь:	2
                          напротив:	2
                        напряжения:	2
                          наркозом:	2
                           народов:	2
                          нарушила:	2
                           насилия:	2
                      наслаждаться:	2
                           графика:	2
                  наследственности:	2
                        наставляют:	2
                    наставнические:	2
                         настоящие:	2
                        настроении:	2
                         настройке:	2
                         грешников:	2
                          наступаю:	2
                      насыщенность:	2
                            научат:	2
                         научилась:	2
                          научимся:	2
                         научитесь:	2
                          находить:	2
                           находят:	2
                       находящаяся:	2
                           грубого:	2
                       находящийся:	2
                            грубые:	2
                        нахождения:	2
                            нахожу:	2
                             начав:	2
                       группировок:	2
                           началом:	2
                          началось:	2
                         групповых:	2
                            началу:	2
                          начинала:	2
                        начинаются:	2
                        начинающая:	2
                        начинающим:	2
                          начнется:	2
                          небесные:	2
                   неблагоприятным:	2
                         небольшая:	2
                        невероятно:	2
                         невидимая:	2
                    невоплощенного:	2
                        негативное:	2
                        негативный:	2
                        негативным:	2
                        негативных:	2
                            давали:	2
                       негодования:	2
                            давние:	2
                          недавних:	2
                      недвижимости:	2
                            недель:	2
                            далеки:	2
                    незавершенными:	2
                          неземных:	2
                          незрелые:	2
                         незрелыми:	2
                        неизлечимо:	2
                              дали:	2
                              дало:	2
                         неизменно:	2
                        неизменной:	2
                       дальнейшему:	2
                             неким:	2
                         некотором:	2
                           данного:	2
                         некоторый:	2
                            данные:	2
                           нелегко:	2
                           неловко:	2
                        неловкость:	2
                             даром:	2
                       необходимым:	2
                              даст:	2
                          необычно:	2
                      неоднократно:	2
                    неодушевленные:	2
                     неопределенно:	2
                           неплохо:	2
                               даю:	2
                        двадцатого:	2
                         двадцатом:	2
                 непосредственного:	2
                            дверей:	2
                             двери:	2
                     неправильного:	2
                      неправильном:	2
                            дверцы:	2
                        неприятных:	2
                        нервничает:	2
                         нервничая:	2
                        нескольким:	2
                             несут:	2
                          двигаясь:	2
                          движемся:	2
                          движении:	2
                        несчастные:	2
                        несчастный:	2
                       движущегося:	2
                        движущейся:	2
                        несчастным:	2
                         неудачных:	2
                      неустроенных:	2
                        движущихся:	2
                        движущуюся:	2
                           неясным:	2
                            низшие:	2
                            низших:	2
                            дворца:	2
                              двум:	2
                          двуногих:	2
                             никак:	2
                            никоим:	2
                           новичка:	2
                         новичками:	2
                           новички:	2
                    новорожденного:	2
                            новыми:	2
                               ног:	2
                          девушкой:	2
                           девушку:	2
                             носит:	2
                     девятнадцатом:	2
